Tests,Stat,Difference%
add_mz_zzv,sme2_sme_lat,0.25
add_mz_zzv_p1,sme2_sme_lat,0.20
add_mz_zzv_p2,sme2_sme_lat,0.20
add_mz_zzv_p3,sme2_sme_lat,0.20
bfcvt_z_mz2,sme2_sme_lat,-53.19
bfcvtn_z_mz2,sme2_sme_lat,-2.75
fclamp_mz_zz,sme2_sme_lat,1.48
fclamp_mz_zz_p1,sme2_sme_lat,1.64
fclamp_mz_zz_p2,sme2_sme_lat,4.73
fcvt_z_mz2,sme2_sme_lat,-53.19
fcvtn_z_mz2,sme2_sme_lat,-2.75
fcvtzs_mz_z,sme2_sme_lat,-0.22
fcvtzu_mz_z,sme2_sme_lat,-0.22
fmax_mz_zzv,sme2_sme_lat,0.24
fmax_mz_zzv_p1,sme2_sme_lat,0.20
fmax_mz_zzv_p2,sme2_sme_lat,0.20
fmax_mz_zzw,sme2_sme_lat,0.20
fmax_mz_zzw_p1,sme2_sme_lat,0.18
fmax_mz_zzw_p2,sme2_sme_lat,0.15
fmaxnm_mz_zzv,sme2_sme_lat,0.24
fmaxnm_mz_zzv_p1,sme2_sme_lat,0.20
fmaxnm_mz_zzv_p2,sme2_sme_lat,0.20
fmaxnm_mz_zzw,sme2_sme_lat,0.20
fmaxnm_mz_zzw_p1,sme2_sme_lat,0.18
fmaxnm_mz_zzw_p2,sme2_sme_lat,0.15
fmin_mz_zzv,sme2_sme_lat,0.24
fmin_mz_zzv_p1,sme2_sme_lat,0.20
fmin_mz_zzv_p2,sme2_sme_lat,0.20
fmin_mz_zzw,sme2_sme_lat,0.20
fmin_mz_zzw_p1,sme2_sme_lat,0.18
fmin_mz_zzw_p2,sme2_sme_lat,0.15
fminnm_mz_zzv,sme2_sme_lat,0.24
fminnm_mz_zzv_p1,sme2_sme_lat,0.20
fminnm_mz_zzv_p2,sme2_sme_lat,0.20
fminnm_mz_zzw,sme2_sme_lat,0.20
fminnm_mz_zzw_p1,sme2_sme_lat,0.18
fminnm_mz_zzw_p2,sme2_sme_lat,0.15
frinta_mz_z,sme2_sme_lat,-0.22
frintm_mz_z,sme2_sme_lat,-0.22
frintn_mz_z,sme2_sme_lat,-0.22
frintp_mz_z,sme2_sme_lat,-0.22
luti2_mz2_ztz,sme2_sme_lat,0.87
luti2_mz4_ztz,sme2_sme_lat,-0.21
luti2_z_ztz,sme2_sme_lat,0.28
luti4_mz2_ztz,sme2_sme_lat,0.87
luti4_mz4_ztz,sme2_sme_lat,-0.21
luti4_z_ztz,sme2_sme_lat,0.28
sclamp_mz_zz,sme2_sme_lat,300.61
sclamp_mz_zz_p1,sme2_sme_lat,122.56
sclamp_mz_zz_p2,sme2_sme_lat,117.12
sclamp_mz_zz_p3,sme2_sme_lat,122.53
scvtf_mz_z,sme2_sme_lat,-0.22
sel_mz_p_zz,sme2_sme_lat,-0.44
sel_mz_p_zz_p1,sme2_sme_lat,-59.07
sel_mz_p_zz_p2,sme2_sme_lat,-60.14
sel_mz_p_zz_p3,sme2_sme_lat,-49.84
smax_mz_zzv,sme2_sme_lat,0.25
smax_mz_zzv_p1,sme2_sme_lat,0.20
smax_mz_zzv_p2,sme2_sme_lat,0.20
smax_mz_zzv_p3,sme2_sme_lat,0.20
smax_mz_zzw,sme2_sme_lat,0.23
smax_mz_zzw_p1,sme2_sme_lat,0.16
smax_mz_zzw_p2,sme2_sme_lat,0.16
smax_mz_zzw_p3,sme2_sme_lat,0.20
smin_mz_zzv,sme2_sme_lat,0.25
smin_mz_zzv_p1,sme2_sme_lat,0.20
smin_mz_zzv_p2,sme2_sme_lat,0.20
smin_mz_zzv_p3,sme2_sme_lat,0.20
smin_mz_zzw,sme2_sme_lat,0.23
smin_mz_zzw_p1,sme2_sme_lat,0.16
smin_mz_zzw_p2,sme2_sme_lat,0.16
smin_mz_zzw_p3,sme2_sme_lat,0.20
sqcvt_z_mz2,sme2_sme_lat,-2.75
sqcvt_z_mz4,sme2_sme_lat,-22.64
sqcvtn_z_mz4,sme2_sme_lat,-22.64
sqcvtu_z_mz2,sme2_sme_lat,-2.75
sqcvtu_z_mz4,sme2_sme_lat,-22.64
sqcvtun_z_mz4,sme2_sme_lat,-22.64
sqdmulh_mz_zzv,sme2_sme_lat,0.25
sqdmulh_mz_zzv_p1,sme2_sme_lat,0.20
sqdmulh_mz_zzv_p2,sme2_sme_lat,0.20
sqdmulh_mz_zzv_p3,sme2_sme_lat,0.20
sqdmulh_mz_zzw,sme2_sme_lat,0.23
sqdmulh_mz_zzw_p1,sme2_sme_lat,0.16
sqdmulh_mz_zzw_p2,sme2_sme_lat,0.16
sqdmulh_mz_zzw_p3,sme2_sme_lat,0.20
sqrshr_z_mz2,sme2_sme_lat,-2.75
sqrshr_z_mz4,sme2_sme_lat,-22.64
sqrshrn_z_mz4,sme2_sme_lat,-22.64
sqrshru_z_mz2,sme2_sme_lat,-2.75
sqrshru_z_mz4,sme2_sme_lat,-22.64
sqrshrun_z_mz4,sme2_sme_lat,-22.64
srshl_mz_zzv,sme2_sme_lat,0.25
srshl_mz_zzv_p1,sme2_sme_lat,0.20
